Place Of Service,Service Type,Plan,Group Size,In Network,Is Covered,Date Of Service Min,Date Of Service Max,Covered in Full,Copay,Coinsurance
Outpatient,medicalAbortion,PL555,L,Y,Y,1/1/2015,12/31/2023,N,opSurgeryCopay,N
Office,medicalAbortion,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,medicalAbortion,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,mhSaLabScreening,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,mhSaLabScreening,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,mhSaLabScreening,PL555,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,mhSaLabScreening,PL555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Office,mhSaLabScreening,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,mhSaLabScreening,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,mriMra,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,mriMra,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,mriMra,PL555,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,mriMra,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Outpatient,mriMra,PL555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Inpatient,mriMra,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,neuropsychologicalTesting,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,neuropsychologicalTesting,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,neuropsychologicalTesting,PL555,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,neuropsychologicalTesting,PL555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Office,neuropsychologicalTesting,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,neuropsychologicalTesting,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,newbornNursery,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,newbornNursery,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,newbornNursery,PL555,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,newbornNursery,PL555,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Office,newbornNursery,PL555,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,newbornNursery,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,nonRoutineGynExam,PL555,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Office,nonRoutineGynExam,PL555,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,nonRoutineGynExam,PL555,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,nonRoutineGynExam,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Office,nonRoutineGynExam,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Inpatient,nonRoutineGynExam,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,nonRoutineMammogram,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,nonRoutineMammogram,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,nonRoutineMammogram,PL555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Outpatient,nonRoutineMammogram,PL555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Office,nonRoutineMammogram,PL555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,nonRoutineMammogram,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,N
Outpatient,nonRoutinePapSmear,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,N
Office,nonRoutinePapSmear,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,nonRoutinePapSmear,PL555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Outpatient,nonRoutinePapSmear,PL555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Office,nonRoutinePapSmear,PL555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,nonRoutinePapSmear,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,N
Outpatient,nuclearMedicine,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,N
Office,nuclearMedicine,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,nuclearMedicine,PL555,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,nuclearMedicine,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Outpatient,nuclearMedicine,PL555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Inpatient,nuclearMedicine,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,nutritionalCounseling,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,nutritionalCounseling,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,nutritionalCounseling,PL555,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,nutritionalCounseling,PL555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Office,nutritionalCounseling,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,nutritionalCounseling,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,obstetricalServices,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,obstetricalServices,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,obstetricalServices,PL555,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,obstetricalServices,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Office,obstetricalServices,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Inpatient,obstetricalServices,PL555,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,occupationalTherapy,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,occupationalTherapy,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,occupationalTherapy,PL555,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,occupationalTherapy,PL555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Office,occupationalTherapy,PL555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Inpatient,occupationalTherapy,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,opChemical,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,opChemical,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,opChemical,PL555,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,opChemical,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Office,opChemical,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Inpatient,opChemical,PL555,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,opDialysisFacility,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,opDialysisFacility,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,opDialysisFacility,PL555,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,opDialysisFacility,PL555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Office,opDialysisFacility,PL555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,opDialysisFacility,PL555,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,opDialysisPhysician,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,opDialysisPhysician,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,opDialysisPhysician,PL555,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,opDialysisPhysician,PL555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Office,opDialysisPhysician,PL555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,opDialysisPhysician,PL555,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,opMentalHealth,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,opMentalHealth,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,opMentalHealth,PL555,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,opMentalHealth,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Office,opMentalHealth,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Inpatient,opMentalHealth,PL555,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,organTransplant,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,organTransplant,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,organTransplant,PL555,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,organTransplant,PL555,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Office,organTransplant,PL555,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,organTransplant,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,orthotics,PL555,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Office,orthotics,PL555,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,orthotics,PL555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Outpatient,orthotics,PL555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Office,orthotics,PL555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,orthotics,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,orthoticShoeInserts,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,orthoticShoeInserts,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,orthoticShoeInserts,PL555,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,orthoticShoeInserts,PL555,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,orthoticShoeInserts,PL555,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,orthoticShoeInserts,PL555,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,painManagementServices,PL555,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,painManagementServices,PL555,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,painManagementServices,PL555,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,painManagementServices,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Office,painManagementServices,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,painManagementServices,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,pcpVisit,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,pcpVisit,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,pcpVisit,PL555,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,pcpVisit,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Office,pcpVisit,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Inpatient,pcpVisit,PL555,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,petScans,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,petScans,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,petScans,PL555,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,petScans,PL555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Office,petScans,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,petScans,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,physicalTherapy,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,physicalTherapy,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,physicalTherapy,PL555,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,physicalTherapy,PL555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Office,physicalTherapy,PL555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Inpatient,physicalTherapy,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,preferredLab,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,preferredLab,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,preferredLab,PL555,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,preferredLab,PL555,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Office,preferredLab,PL555,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,preferredLab,PL555,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,preferredRadiology,PL555,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Office,preferredRadiology,PL555,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,preferredRadiology,PL555,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,preferredRadiology,PL555,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Office,preferredRadiology,PL555,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,preferredRadiology,PL555,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,preNatalVisits,PL555,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Office,preNatalVisits,PL555,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,preNatalVisits,PL555,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,preNatalVisits,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Office,preNatalVisits,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Inpatient,preNatalVisits,PL555,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,prostateCaScreening,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,prostateCaScreening,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,prostateCaScreening,PL555,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,prostateCaScreening,PL555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Office,prostateCaScreening,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,prostateCaScreening,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,prosthetics,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,prosthetics,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,prosthetics,PL555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Outpatient,prosthetics,PL555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Office,prosthetics,PL555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,prosthetics,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,pulmonaryRehab,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,pulmonaryRehab,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,pulmonaryRehab,PL555,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,pulmonaryRehab,PL555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Office,pulmonaryRehab,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,pulmonaryRehab,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,radiationTherapy,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,radiationTherapy,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,radiationTherapy,PL555,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,radiationTherapy,PL555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Office,radiationTherapy,PL555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,radiationTherapy,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,routineFootCare,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,routineFootCare,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,routineFootCare,PL555,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,routineFootCare,PL555,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,routineFootCare,PL555,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,routineFootCare,PL555,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,routineGynExam,PL555,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,routineGynExam,PL555,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,routineGynExam,PL555,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,routineGynExam,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Office,routineGynExam,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Inpatient,routineGynExam,PL555,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,routineMammogram,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,routineMammogram,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,routineMammogram,PL555,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,routineMammogram,PL555,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Office,routineMammogram,PL555,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,routineMammogram,PL555,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,routinePapSmear,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,routinePapSmear,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,routinePapSmear,PL555,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,routinePapSmear,PL555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Office,routinePapSmear,PL555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,routinePapSmear,PL555,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,secondOpinions,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,secondOpinions,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,secondOpinions,PL555,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,secondOpinions,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Office,secondOpinions,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,secondOpinions,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,selfInjectibles,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,selfInjectibles,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,selfInjectibles,PL555,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,selfInjectibles,PL555,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,selfInjectibles,PL555,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,selfInjectibles,PL555,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,transgenderSurgery,PL555,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,transgenderSurgery,PL555,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,transgenderSurgery,PL555,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,transgenderSurgery,PL555,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,transgenderSurgery,PL555,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,transgenderSurgery,PL555,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,sickEyeExams,PL555,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,sickEyeExams,PL555,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,sickEyeExams,PL555,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,sickEyeExams,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Office,sickEyeExams,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,sickEyeExams,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,sleepStudies,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,sleepStudies,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,sleepStudies,PL555,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,sleepStudies,PL555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Office,sleepStudies,PL555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Inpatient,sleepStudies,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,smokingCessation,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,smokingCessation,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,smokingCessation,PL555,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,smokingCessation,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Office,smokingCessation,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,smokingCessation,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,specialistVisit,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,specialistVisit,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,specialistVisit,PL555,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,specialistVisit,PL555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Office,specialistVisit,PL555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Inpatient,specialistVisit,PL555,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,speechTherapy,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,speechTherapy,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,speechTherapy,PL555,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,speechTherapy,PL555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Office,speechTherapy,PL555,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Inpatient,speechTherapy,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,surgery,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,surgery,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,surgery,PL555,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,surgery,PL555,L,Y,Y,1/1/2015,12/31/2023,N,opSurgeryCopay,N
Office,surgery,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,surgery,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,tmjDental,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,tmjDental,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,tmjDental,PL555,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,tmjDental,PL555,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,tmjDental,PL555,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,tmjDental,PL555,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,travelImmunizations,PL555,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,travelImmunizations,PL555,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,travelImmunizations,PL555,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,travelImmunizations,PL555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Office,travelImmunizations,PL555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,travelImmunizations,PL555,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,urgentCare,PL555,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,urgentCare,PL555,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,urgentCare,PL555,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,urgentCare,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay + 10,N
Office,urgentCare,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay + 10,N
Inpatient,urgentCare,PL555,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,visionContactLens,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,visionContactLens,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,visionContactLens,PL555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Outpatient,visionContactLens,PL555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Office,visionContactLens,PL555,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,visionContactLens,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,N
Outpatient,visionExam,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,N
Office,visionExam,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,visionExam,PL555,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,visionExam,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Office,visionExam,PL555,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,visionExam,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,visionFrame,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,visionFrame,PL555,L,N,Y,1/1/2015,12/31/2023,N,N,Y
